Date;Scheduled flights;Tracked flights;Percentage
1.02.2025;359;355;98,90%
2.02.2025;363;357;98,30%
3.02.2025;352;348;98,90%
4.02.2025;337;334;99,10%
5.02.2025;336;299;89,00%
6.02.2025;354;262;74,00%
7.02.2025;361;326;90,30%
8.02.2025;350;341;97,40%
9.02.2025;356;343;96,30%
10.02.2025;344;334;97,10%
11.02.2025;339;315;92,90%
12.02.2025;334;300;89,80%
13.02.2025;360;349;96,90%
14.02.2025;366;350;95,60%
15.02.2025;351;345;98,30%
16.02.2025;358;351;98,00%
17.02.2025;343;337;98,30%
18.02.2025;343;334;97,40%
19.02.2025;340;333;97,90%
20.02.2025;360;271;75,30%
21.02.2025;362;229;63,30%
22.02.2025;356;254;71,30%
23.02.2025;358;287;80,20%
24.02.2025;352;341;96,90%
25.02.2025;345;339;98,30%
26.02.2025;333;327;98,20%
27.02.2025;362;355;98,10%
28.02.2025;358;352;98,30%
1.03.2025;351;350;99,70%
2.03.2025;359;357;99,40%
3.03.2025;365;349;95,62%
4.03.2025;355;329;92,68%
5.03.2025;342;331;96,78%
6.03.2025;311;300;96,46%
7.03.2025;306;299;97,71%
8.03.2025;336;331;98,50%
9.03.2025;342;333;97,40%
10.03.2025;323;294;91,00%
11.03.2025;305;300;98,40%
12.03.2025;304;302;99,30%
13.03.2025;330;328;99,40%
14.03.2025;340;333;97,90%
15.03.2025;341;338;99,10%
16.03.2025;349;347;99,40%
17.03.2025;314;312;99,40%
18.03.2025;309;306;99,00%
19.03.2025;315;311;98,70%
20.03.2025;350;345;98,60%
21.03.2025;342;336;98,20%
22.03.2025;343;342;99,70%
23.03.2025;352;351;99,70%
24.03.2025;339;336;99,10%
25.03.2025;329;328;99,70%
26.03.2025;337;334;99,10%
27.03.2025;361;360;99,70%
28.03.2025;377;376;99,70%
29.03.2025;383;381;99,50%
30.03.2025;385;381;99,00%
31.03.2025;372;362;97,30%
1.04.2025;373;363;97,30%
2.04.2025;370;363;98,10%
3.04.2025;382;375;98,20%
4.04.2025;373;366;98,10%
5.04.2025;369;335;90,80%
6.04.2025;374;371;99,20%
7.04.2025;364;362;99,50%
8.04.2025;364;360;98,90%
9.04.2025;362;352;97,20%
10.04.2025;375;369;98,40%
11.04.2025;371;359;96,80%
12.04.2025;360;359;99,70%
13.04.2025;369;365;98,90%
14.04.2025;358;350;97,80%
15.04.2025;358;353;98,60%
16.04.2025;359;353;98,30%
17.04.2025;368;362;98,40%
18.04.2025;379;368;97,10%
19.04.2025;361;351;97,20%
20.04.2025;367;361;98,40%
21.04.2025;363;359;98,90%
22.04.2025;356;340;95,50%
23.04.2025;360;350;97,20%
24.04.2025;366;361;98,60%
25.04.2025;371;368;99,19%
26.04.2025;353;352;99,72%
27.04.2025;361;360;99,72%
28.04.2025;351;348;99,15%
29.04.2025;357;351;98,32%
30.04.2025;364;363;99,73%
1.05.2025;369;362;98,10%
2.05.2025;370;365;98,65%
3.05.2025;363;357;98,35%
4.05.2025;372;365;98,12%
5.05.2025;362;356;98,34%
6.05.2025;357;354;99,16%
7.05.2025;360;353;98,06%
8.05.2025;371;364;98,11%
9.05.2025;375;372;99,20%
10.05.2025;366;364;99,45%
11.05.2025;371;369;99,46%
12.05.2025;366;360;98,36%
13.05.2025;363;358;98,62%
14.05.2025;364;361;99,18%
15.05.2025;376;373;99,20%
16.05.2025;383;379;98,96%
17.05.2025;362;361;99,72%
18.05.2025;374;372;99,47%
19.05.2025;368;366;99,46%
20.05.2025;357;355;99,44%
21.05.2025;365;363;99,45%
22.05.2025;378;374;98,94%
